type,fenqi_cycle,fenqi,order_month_diff,capital_rate
5,1,1,0,0.808051
5,2,1,0,0.034056
5,2,3,0,0.011522
5,2,6,0,0.005963
5,2,9,0,0.005665
5,2,12,0,0.002269
6,2,2,0,0.004169
6,2,3,0,0.002118
6,2,6,0,0.001155
6,2,9,0,0.000686
6,2,12,0,0.00056
8,2,6,0,0.001968
8,2,12,0,0.000847
5,1,1,1,0.191949
5,2,1,1,0.965944
5,2,3,1,0.323946
5,2,6,1,0.154829
5,2,9,1,0.098611
5,2,12,1,0.070535
6,2,2,1,0.490501
6,2,3,1,0.32359
6,2,6,1,0.156585
6,2,9,1,0.101101
6,2,12,1,0.073966
8,2,6,1,0.166365
8,2,12,1,0.082319
5,2,3,2,0.333592
5,2,6,2,0.159452
5,2,9,2,0.101568
5,2,12,2,0.072651
6,2,2,2,0.501773
6,2,3,2,0.333268
6,2,6,2,0.161055
6,2,9,2,0.103926
6,2,12,2,0.075752
8,2,6,2,0.166667
8,2,12,2,0.083333
5,2,3,3,0.33094
5,2,6,3,0.164214
5,2,9,3,0.104613
5,2,12,3,0.074829
6,2,2,3,0.003562
6,2,3,3,0.338814
6,2,6,3,0.164683
6,2,9,3,0.106195
6,2,12,3,0.07731
8,2,6,3,0.166667
8,2,12,3,0.083333
5,2,6,4,0.169119
5,2,9,4,0.107749
5,2,12,4,0.077073
6,2,3,4,0.00221
6,2,6,4,0.168406
6,2,9,4,0.108521
6,2,12,4,0.078907
8,2,6,4,0.166667
8,2,12,4,0.083333
5,2,6,5,0.174169
5,2,9,5,0.11098
5,2,12,5,0.079384
6,2,6,5,0.172224
6,2,9,5,0.110907
6,2,12,5,0.080545
8,2,6,5,0.166667
8,2,12,5,0.083333
5,2,6,6,0.172255
5,2,9,6,0.114307
5,2,12,6,0.081764
6,2,6,6,0.174806
6,2,9,6,0.113354
6,2,12,6,0.082225
8,2,6,6,0.164699
8,2,12,6,0.083333
5,2,9,7,0.11367
5,2,12,7,0.081274
6,2,6,7,0.001087
6,2,9,7,0.110896
6,2,12,7,0.081
8,2,6,7,0.000302
8,2,12,7,0.078134
5,2,9,8,0.125329
5,2,12,8,0.089685
6,2,9,8,0.123408
6,2,12,8,0.088663
8,2,12,8,0.088533
5,2,9,9,0.117509
5,2,12,9,0.089343
6,2,9,9,0.12023
6,2,12,9,0.087527
8,2,12,9,0.083333
5,2,12,10,0.092022
6,2,9,10,0.000776
6,2,12,10,0.089386
8,2,12,10,0.083333
5,2,12,11,0.094782
6,2,12,11,0.091292
8,2,12,11,0.083333
5,2,12,12,0.094387
6,2,12,12,0.092504
8,2,12,12,0.082485
6,2,12,13,0.000364
8,2,12,13,0.001014
